Complexity,Loss,Equation
1,0.019766092,"0.26037145"
5,0.01976608,"(x1 * -0.00024407118) + 0.26037407"
7,0.013193118,"((x0 * x0) * -0.32741702) + 0.3416602"
9,0.012995506,"0.3018152 - ((x0 * x0) * (x1 * x1))"
11,0.00028854856,"(((x0 * x0) + (x1 * x1)) * -0.48679104) + 0.50210154"
13,0.0002884369,"(((x1 * -0.48595965) * x1) + 0.50210094) + ((x0 * x0) * -0.48761907)"
15,0.00028842333,"((x1 * ((x1 * -0.48596624) + -0.00023353792)) + 0.5021016) + ((x0 * x0) * -0.48761615)"
